Unnamed: 0,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
32,café,-48.0636492,-22.8308688,2021-10-02,2021-10-22,0.5791,0.364,1.2637706293779265,12.8093022739186,3.1817225568434773,33.98234959349605
33,café,-48.0636492,-22.8308688,2021-10-22,2021-11-11,0.5795,0.4109,1.4960925473886375,34.214036492740405,21.80216273139505,33.7237772029236
34,café,-48.0636492,-22.8308688,2021-11-11,2021-12-01,0.6047,0.4019,1.720818926306332,13.840519905090332,15.091362027560963,35.46759891829373
35,café,-48.0636492,-22.8308688,2021-12-01,2021-12-21,0.6406,0.4787,1.97209373291801,28.4419646543615,13.250631837283862,33.05923393341084
36,café,-48.0636492,-22.8308688,2021-12-21,2022-01-10,0.5399,0.4869,2.1791408272350536,18.8276263405295,12.69701489280252,31.765063360710258
37,café,-48.0636492,-22.8308688,2022-01-10,2022-01-30,0.7512,0.5193,2.37104509157293,24.50320283104392,20.04885314492618,30.35674022454521
38,café,-48.0636492,-22.8308688,2022-01-30,2022-02-19,0.6844,0.4428,2.462800194235409,60.36081987268785,50.79350550034467,27.65995834653154
39,café,-48.0636492,-22.8308688,2022-02-19,2022-03-11,0.6109,0.4037,2.4532981690238507,20.01271079568302,17.05767749337589,29.69734608870135
40,café,-48.0636492,-22.8308688,2022-03-11,2022-03-31,0.7135,0.4395,2.354682704981636,,17.44186799666461,27.480706819313184
41,café,-48.0636492,-22.8308688,2022-03-31,2022-04-20,0.725,0.3964,2.161872078390682,,14.368154862347772,25.42587020026048
42,café,-48.0636492,-22.8308688,2022-04-20,2022-05-10,0.6374,0.3716,1.875279622919419,,11.671096156625186,25.25553239056728
43,café,-48.0636492,-22.8308688,2022-05-10,2022-05-30,0.5696,0.312,1.618601430864895,7.833437358631808,9.116868215448717,20.502278813907765
44,café,-48.0636492,-22.8308688,2022-05-30,2022-06-19,0.5732,0.3235,1.3493494566749125,20.554560773512893,18.50087502423455,19.20883363982449
45,café,-48.0636492,-22.8308688,2022-06-19,2022-07-09,0.5465,0.3164,1.1683811440187342,20.68021437701057,19.06576543695786,21.874004245282208
46,café,-48.0636492,-22.8308688,2022-07-09,2022-07-29,0.5259,0.291,1.0342322026982027,14.8139269211713,16.05933099634507,22.72079815403339
47,café,-48.0636492,-22.8308688,2022-07-29,2022-08-18,0.4964,0.2665,0.9681914992192212,12.545433913960176,12.484331187079936,23.602706252419807
48,café,-48.0636492,-22.8308688,2022-08-18,2022-09-07,0.4726,0.2556,0.9760927943622364,10.499404907226562,10.02991954018088,26.955019679958752
49,café,-48.0636492,-22.8308688,2022-09-07,2022-09-27,0.4694,0.2637,1.040626567952773,18.003746032714844,10.150691509246826,28.68717538438142
50,café,-48.0636492,-22.8308688,2022-09-27,2022-10-17,0.4815,0.2789,1.209995718563304,54.92796224706313,36.26189994812012,26.948500290360077
51,café,-48.0636492,-22.8308688,2022-10-17,2022-11-06,0.5215,0.3727,1.4328339240130257,40.42964217242072,37.76548935385311,32.4472143179766
52,café,-48.0636492,-22.8308688,2022-11-06,2022-11-26,0.5442,0.3859,1.6730803566820482,12.291857719421388,22.38977331273696,33.02331799530327
53,café,-48.0636492,-22.8308688,2022-11-26,2022-12-16,0.6884,0.4604,1.901260421556585,40.55506571601419,22.85900772319121,32.50908116024192
54,café,-48.0636492,-22.8308688,2022-12-16,2023-01-05,0.6017,0.4489,2.13524707625894,32.51077248068417,25.682931395138013,29.985276809911056
55,café,-48.0636492,-22.8308688,2023-01-05,2023-01-25,0.7242,0.505,2.326550932491527,60.72207170374253,55.29775114620433,26.158972125435582
56,café,-48.0636492,-22.8308688,2023-01-25,2023-02-14,0.655,0.5048,2.4505685076994057,57.18188689736759,52.9773656059714,25.80316359714624
57,café,-48.0636492,-22.8308688,2023-02-14,2023-03-06,0.708,0.4429,2.465119726517621,82.24715064553654,70.11682891845703,28.62850580720101
58,café,-48.0636492,-22.8308688,2023-03-06,2023-03-26,0.6705,0.4673,2.3865870938581577,,74.31554726993336,26.10128001267026
59,café,-48.0636492,-22.8308688,2023-03-26,2023-04-15,0.6783,0.4403,2.221410113222459,,62.38134788064396,25.821135125037586
60,café,-48.0636492,-22.8308688,2023-04-15,2023-05-05,0.6924,0.4322,1.947116858818952,,81.25832187428193,23.39062733607864
61,café,-48.0636492,-22.8308688,2023-05-05,2023-05-25,0.6926,0.4158,1.6853403168566086,51.01605729495778,68.17481680477367,21.131134302689247
62,café,-48.0636492,-22.8308688,2023-05-25,2023-06-14,0.6839,0.3995,1.409098505973816,54.197829863604376,54.70317358129165,20.42392796518243
63,café,-48.0636492,-22.8308688,2023-06-14,2023-07-04,0.5905,0.3292,1.207693632911233,74.71686486636891,73.86114569271312,18.9870607692734
64,café,-48.0636492,-22.8308688,2023-07-04,2023-07-24,0.5799,0.3254,1.063730001449585,61.3541971094468,65.59806891048656,18.78779746946833
65,café,-48.0636492,-22.8308688,2023-07-24,2023-08-13,0.5668,0.3325,0.9765276400481951,53.23842418895048,53.69012181899127,23.13747208076489
66,café,-48.0636492,-22.8308688,2023-08-13,2023-09-02,0.5356,0.316,0.9685772920356076,51.1763916015625,46.43975381290211,26.48950509743196
67,café,-48.0636492,-22.8308688,2023-09-02,2023-09-22,0.5457,0.306,1.0171566710752598,50.8222541809082,43.98258411183076,30.089917889698427
68,café,-48.0636492,-22.8308688,2023-09-22,2023-10-12,0.531,0.3146,1.1582623089061064,62.92105876698214,40.935607236974384,30.782222982689063
69,café,-48.0636492,-22.8308688,2023-10-12,2023-11-01,0.6034,0.392,1.374452780274784,73.01065377628103,75.43754757151885,27.488981804103844
70,café,-48.0636492,-22.8308688,2023-11-01,2023-11-21,0.6042,0.421,1.6209444543894598,39.48366165161133,61.79745775110582,32.843148074825024
71,café,-48.0636492,-22.8308688,2023-11-21,2023-12-11,0.6347,0.462,1.8304055403260624,28.147965150720932,49.82762123556699,31.71898942259844
72,café,-48.0636492,-22.8308688,2023-12-11,2023-12-31,0.6472,0.4446,2.09010538634132,7.595096139346851,13.520647385541132,32.38466653265442
73,café,-48.0636492,-22.8308688,2023-12-31,2024-01-20,0.6711,0.5242,2.2766258856829475,1.227826714515686,0.0681066153680576,31.47460346496331
74,café,-48.0636492,-22.8308688,2024-01-20,2024-02-09,0.7359,0.4951,2.432337852085338,14.896666498745187,4.884333778830135,27.039267317902784
75,café,-48.0636492,-22.8308688,2024-02-09,2024-02-29,0.7484,0.4884,2.4708919455023373,9.6827834073235,5.9344066030838905,26.96675906338152
76,café,-48.0636492,-22.8308688,2024-02-29,2024-03-20,0.7603,0.5024,2.417981848997228,,5.482182685066672,26.955690288483083
77,café,-48.0636492,-22.8308688,2024-03-20,2024-04-09,0.7341,0.4766,2.282503604888916,,5.947059995987836,26.898471544715505
78,café,-48.0636492,-22.8308688,2024-04-09,2024-04-29,0.7075,0.4793,2.0368534326553345,,7.913109442766975,25.101879421391743
79,café,-48.0636492,-22.8308688,2024-04-29,2024-05-19,0.6274,0.3843,1.7608266017016243,0.4577359855175018,2.7491402065052704,26.27687521112261
80,café,-48.0636492,-22.8308688,2024-05-19,2024-06-08,0.6597,0.406,1.48921656257966,3.22840074931874,0.9920064719284282,21.61356229136726
81,café,-48.0636492,-22.8308688,2024-06-08,2024-06-28,0.6414,0.3792,1.259237296441022,0.0465992658453829,0.0035845589659669,21.28489876113059
82,café,-48.0636492,-22.8308688,2024-06-28,2024-07-18,0.5786,0.3374,1.1030466731856852,5.628026359221514,0.7361237985246322,17.92140368342467
83,café,-48.0636492,-22.8308688,2024-07-18,2024-08-07,0.6008,0.3453,0.9934632217182832,3.619213791454539,0.9333644000922932,20.788516477134976
84,café,-48.0636492,-22.8308688,2024-08-07,2024-08-27,0.5631,0.3434,0.9639546310200412,5.668802738189697,1.7541935689309065,22.717768201601075
85,café,-48.0636492,-22.8308688,2024-08-27,2024-09-16,0.5163,0.3394,0.9966352581977844,10.622297286987305,5.931258846731747,25.93166611118278
86,café,-48.0636492,-22.8308688,2024-09-16,2024-10-06,0.5266,0.3322,1.1029208232374752,1.3226405452279484,2.792135147487416,31.07320990324041
87,café,-48.0636492,-22.8308688,2024-10-06,2024-10-26,0.6447,0.4096,1.3075321071288166,8.61897788328283,1.6946904869640576,26.68520563713298
88,café,-48.0636492,-22.8308688,2024-10-26,2024-11-15,0.6319,0.409,1.5496244640911327,45.21665831173168,32.82475359299603,28.238261158121876
89,café,-48.0636492,-22.8308688,2024-11-15,2024-12-05,0.6609,0.5176,1.7588844579808856,65.35479736328125,40.95566323224236,30.750854884501223
90,café,-48.0636492,-22.8308688,2024-12-05,2024-12-25,0.6549,0.5371,2.023847678128411,39.30558260749368,37.28819589053884,27.605452014545733
91,café,-48.0636492,-22.8308688,2024-12-25,2025-01-14,0.7324,0.5806,2.216819503728081,25.29401633318733,25.679181772119858,26.2178644799194
0,eucalipto,-48.2348555,-23.0168264,2020-01-01,2020-01-21,0.8441,0.5762,2.613308976678287,45.24391129437615,41.73842194501091,30.65869348436445
1,eucalipto,-48.2348555,-23.0168264,2020-01-21,2020-02-10,0.8521,0.6983,2.885417082730461,40.75378642362707,34.05778009751264,28.985395211817035
2,eucalipto,-48.2348555,-23.0168264,2020-02-10,2020-03-01,0.8355,0.5872,2.963716787450453,68.79274256089154,75.9026076372932,25.37772678865332
